hour,avg_lambda_hat,pass_rate
2028-09-01T06:00:00Z,0.029361156750739213,0.96
2028-09-01T07:00:00Z,0.03343922977667993,0.96
2028-09-01T08:00:00Z,0.03099393018829364,0.99
2028-09-01T09:00:00Z,0.00969564906300754,0.92
2028-09-01T10:00:00Z,0.011705188706737882,1
2028-09-01T11:00:00Z,0.0045174221841609696,1
2028-09-01T12:00:00Z,0.009043412954458173,1
2028-09-01T13:00:00Z,0.01784679931956883,1
2028-09-01T14:00:00Z,0.024766355306459726,1
2028-09-01T15:00:00Z,0.023022964781343917,0.98
2028-09-01T16:00:00Z,0.0066173036805667294,0.01
2028-09-01T17:00:00Z,NA,NA
2028-09-01T18:00:00Z,NA,NA
2028-09-01T19:00:00Z,NA,NA
2028-09-01T20:00:00Z,NA,NA
2028-09-01T21:00:00Z,NA,NA
2028-09-01T22:00:00Z,NA,NA
2028-09-01T23:00:00Z,NA,NA
2028-09-02T00:00:00Z,NA,NA
2028-09-02T01:00:00Z,NA,NA
2028-09-02T02:00:00Z,NA,NA
2028-09-02T03:00:00Z,NA,NA
2028-09-02T04:00:00Z,NA,NA
2028-09-02T05:00:00Z,NA,NA
2028-09-02T06:00:00Z,0.05929260717065338,1
2028-09-02T07:00:00Z,0.01976868319653794,0.96
2028-09-02T08:00:00Z,0.0254357830238149,0.99
2028-09-02T09:00:00Z,0.003775213847125648,1
2028-09-02T10:00:00Z,0.004853430066717094,1
2028-09-02T11:00:00Z,0.005651476748131658,0.09
2028-09-02T12:00:00Z,0.011419011224679206,1
2028-09-02T13:00:00Z,0.018851531501590153,1
2028-09-02T14:00:00Z,0.021485200517148886,1
2028-09-02T15:00:00Z,0.020063815697831337,1
2028-09-02T16:00:00Z,0.00618460005495643,0.64
2028-09-02T17:00:00Z,0.005009183959439434,0.99
2028-09-02T18:00:00Z,0.01252323277954229,1
2028-09-02T19:00:00Z,0.007301635359361847,0.83
2028-09-02T20:00:00Z,NA,NA
2028-09-02T21:00:00Z,NA,NA
2028-09-02T22:00:00Z,NA,NA
2028-09-02T23:00:00Z,NA,NA
2028-09-03T00:00:00Z,NA,NA
2028-09-03T01:00:00Z,NA,NA
2028-09-03T02:00:00Z,NA,NA
2028-09-03T03:00:00Z,NA,NA
2028-09-03T04:00:00Z,NA,NA
2028-09-03T05:00:00Z,NA,NA
2028-09-03T06:00:00Z,0.038860225652711786,0.99
2028-09-03T07:00:00Z,0.02147824470304655,0.91
2028-09-03T08:00:00Z,0.007781967994921858,1
2028-09-03T09:00:00Z,NA,NA
2028-09-03T10:00:00Z,0.010530355640321018,1
2028-09-03T11:00:00Z,0.010966500338649451,1
2028-09-03T12:00:00Z,0.02820394756608274,0.95
2028-09-03T13:00:00Z,0.031531222589380056,1
2028-09-03T14:00:00Z,0.01695467296518864,1
2028-09-03T15:00:00Z,0.020360953392476122,1
2028-09-03T16:00:00Z,0.009607233284866621,1
2028-09-03T17:00:00Z,0.03044680209854138,0.99
2028-09-03T18:00:00Z,0.03205087788211191,1
2028-09-03T19:00:00Z,0.01632461162564134,0.64
2028-09-03T20:00:00Z,0.005784359276757158,1
2028-09-03T21:00:00Z,NA,NA
2028-09-03T22:00:00Z,NA,NA
2028-09-03T23:00:00Z,NA,NA
2028-09-04T00:00:00Z,NA,NA
2028-09-04T01:00:00Z,NA,NA
2028-09-04T02:00:00Z,NA,NA
2028-09-04T03:00:00Z,NA,NA
2028-09-04T04:00:00Z,NA,NA
2028-09-04T05:00:00Z,NA,NA
2028-09-04T06:00:00Z,0.03545416755599132,1
2028-09-04T07:00:00Z,0.03872467130318084,0.95
2028-09-04T08:00:00Z,0.016954043652969316,1
2028-09-04T09:00:00Z,0.005073616556070268,1
2028-09-04T10:00:00Z,0.01243162467210531,1
2028-09-04T11:00:00Z,0.019898055746210876,0.93
2028-09-04T12:00:00Z,0.0152577093184503,1
2028-09-04T13:00:00Z,0.01726181224794659,1
2028-09-04T14:00:00Z,0.01606580910611326,1
2028-09-04T15:00:00Z,0.01212339519580857,1
2028-09-04T16:00:00Z,0.007609773471533592,1
2028-09-04T17:00:00Z,0.018650151154722922,0.99
2028-09-04T18:00:00Z,0.01633783136134575,1
2028-09-04T19:00:00Z,0.009633753528759326,1
2028-09-04T20:00:00Z,0.007817054436379978,0.99
2028-09-04T21:00:00Z,NA,NA
2028-09-04T22:00:00Z,NA,NA
2028-09-04T23:00:00Z,NA,NA
2028-09-05T00:00:00Z,NA,NA
2028-09-05T01:00:00Z,NA,NA
2028-09-05T02:00:00Z,NA,NA
2028-09-05T03:00:00Z,NA,NA
2028-09-05T04:00:00Z,NA,NA
2028-09-05T05:00:00Z,NA,NA
2028-09-05T06:00:00Z,0.037585481527878016,0.98
2028-09-05T07:00:00Z,0.02334580266697885,1
2028-09-05T08:00:00Z,0.016958883038832633,0.95
2028-09-05T09:00:00Z,0.004086683899555345,1
2028-09-05T10:00:00Z,0.015190163341236233,1
2028-09-05T11:00:00Z,0.009459833566862544,0.9
2028-09-05T12:00:00Z,0.013773992733746708,1
2028-09-05T13:00:00Z,0.014500450861314372,1
2028-09-05T14:00:00Z,0.01331448694623332,1
2028-09-05T15:00:00Z,0.015806438090012215,1
2028-09-05T16:00:00Z,0.004241489255160068,1
2028-09-05T17:00:00Z,0.011978890139427517,1
2028-09-05T18:00:00Z,0.014351104216230298,1
2028-09-05T19:00:00Z,0.009574125465232628,0.99
2028-09-05T20:00:00Z,NA,NA
2028-09-05T21:00:00Z,NA,NA
2028-09-05T22:00:00Z,NA,NA
2028-09-05T23:00:00Z,NA,NA
2028-09-06T00:00:00Z,NA,NA
